
# Auto-generated from Multilingual LibriSpeech (german)
und [und]
die [die]
der [der]
zu [zu]
sie [sie]
in [in]
er [er]
ich [ich]
den [den]
das [das]
nicht [nicht]
sich [sich]
mit [mit]
es [es]
ein [ein]
von [von]
dem [dem]
auf [auf]
so [so]
war [war]
daß [daß]
ist [ist]
als [als]
wie [wie]
an [an]
des [des]
eine [eine]
aber [aber]
auch [auch]
mir [mir]
ihm [ihm]
noch [noch]
hatte [hatte]
ihr [ihr]
mich [mich]
du [du]
im [im]
aus [aus]
ihn [ihn]
nach [nach]
was [was]
einen [einen]
sein [sein]
um [um]
man [man]
wenn [wenn]
nur [nur]
da [da]
für [für]
wir [wir]
vor [vor]
einem [einem]
doch [doch]
sagte [sagte]
durch [durch]
seine [seine]
hat [hat]
über [über]
bei [bei]
einer [einer]
wieder [wieder]
denn [denn]
haben [haben]
mehr [mehr]
oder [oder]
dann [dann]
nun [nun]
uns [uns]
zum [zum]
habe [habe]
ihre [ihre]
schon [schon]
werden [werden]
diese [diese]
sind [sind]
ja [ja]
selbst [selbst]
wird [wird]
am [am]
seiner [seiner]
alle [alle]
waren [waren]
dieser [dieser]
nichts [nichts]
ganz [ganz]
alles [alles]
mein [mein]
ihnen [ihnen]
immer [immer]
jetzt [jetzt]
meine [meine]
sei [sei]
sehr [sehr]
seinen [seinen]
unter [unter]
wo [wo]
wohl [wohl]
kann [kann]
hier [hier]
dir [dir]
wurde [wurde]
bis [bis]
dich [dich]
zur [zur]
etwas [etwas]
konnte [konnte]
sah [sah]
zeit [zeit]
ohne [ohne]
seinem [seinem]
kam [kam]
gegen [gegen]
will [will]
ging [ging]
mann [mann]
ihren [ihren]
augen [augen]
eines [eines]
hätte [hätte]
wollte [wollte]
ihrer [ihrer]
frau [frau]
hand [hand]
einmal [einmal]
welche [welche]
herr [herr]
leben [leben]
vom [vom]
viel [viel]
keine [keine]
gar [gar]
bin [bin]
ob [ob]
diesem [diesem]
kein [kein]
machen [machen]
gut [gut]
muß [muß]
diesen [diesen]
wäre [wäre]
können [können]
sehen [sehen]
sagen [sagen]
recht [recht]
hatten [hatten]
euch [euch]
weil [weil]
lassen [lassen]
würde [würde]
ließ [ließ]
gewesen [gewesen]
gott [gott]
stand [stand]
menschen [menschen]
sprach [sprach]
ihrem [ihrem]
dieses [dieses]
zwei [zwei]
weiß [weiß]
bald [bald]
rief [rief]
andern [andern]
dies [dies]
werde [werde]
sondern [sondern]
soll [soll]
lange [lange]
allen [allen]
ins [ins]
vater [vater]
meiner [meiner]
mutter [mutter]
sollte [sollte]
mußte [mußte]
alte [alte]
hin [hin]
großen [großen]
welt [welt]
liebe [liebe]
meinen [meinen]
ganze [ganze]
allein [allein]
nie [nie]
alten [alten]
also [also]
fragte [fragte]
gleich [gleich]
damit [damit]
fort [fort]
könig [könig]
zurück [zurück]
wollen [wollen]
dort [dort]
gab [gab]
machte [machte]
andere [andere]
eben [eben]
kommen [kommen]
nahm [nahm]
wenig [wenig]
erst [erst]
vielleicht [vielleicht]
nacht [nacht]
wer [wer]
stadt [stadt]
beiden [beiden]
hast [hast]
ab [ab]
darauf [darauf]
hause [hause]
weiter [weiter]
zwischen [zwischen]
tag [tag]
meinem [meinem]
kopf [kopf]
ganzen [ganzen]
gesicht [gesicht]
wurden [wurden]
tage [tage]
schien [schien]
worden [worden]
endlich [endlich]
kleinen [kleinen]
ward [ward]
weg [weg]
während [während]
herz [herz]
gehen [gehen]
große [große]
weit [weit]
mädchen [mädchen]
nein [nein]
dessen [dessen]
drei [drei]
leute [leute]
seines [seines]
davon [davon]
wissen [wissen]
haus [haus]
kleine [kleine]
macht [macht]
tun [tun]
her [her]
kind [kind]
sonst [sonst]
wußte [wußte]
einige [einige]
geben [geben]
keinen [keinen]
bist [bist]
müssen [müssen]
genug [genug]
gerade [gerade]
art [art]
hielt [hielt]
ersten [ersten]
dazu [dazu]
augenblick [augenblick]
wort [wort]
morgen [morgen]
weise [weise]
lag [lag]
herrn [herrn]
antwortete [antwortete]
zimmer [zimmer]
jeder [jeder]
dabei [dabei]
fand [fand]
hinter [hinter]
denen [denen]
kommt [kommt]
oft [oft]
gemacht [gemacht]
heute [heute]
anderen [anderen]
trat [trat]
sache [sache]
geworden [geworden]
blieb [blieb]
sohn [sohn]
ende [ende]
fast [fast]
dein [dein]
indem [indem]
fuhr [fuhr]
deine [deine]
dachte [dachte]
aller [aller]
jahre [jahre]
kaum [kaum]
hörte [hörte]
stimme [stimme]
gesehen [gesehen]
wirklich [wirklich]
worte [worte]
tat [tat]
könnte [könnte]
geht [geht]
gesagt [gesagt]
daran [daran]
zusammen [zusammen]
mensch [mensch]
welcher [welcher]
viele [viele]
niemand [niemand]
kinder [kinder]
erde [erde]
deren [deren]
gekommen [gekommen]
wasser [wasser]
plötzlich [plötzlich]
warum [warum]
setzte [setzte]
seite [seite]
blick [blick]
jungen [jungen]
finden [finden]
zog [zog]
stehen [stehen]
beim [beim]
zwar [zwar]
junge [junge]
seele [seele]
nehmen [nehmen]
gute [gute]
solche [solche]
lieber [lieber]
namen [namen]
gedanken [gedanken]
guten [guten]
hände [hände]
neue [neue]
ihres [ihres]
seit [seit]
neben [neben]
darüber [darüber]
beide [beide]
besser [besser]
freund [freund]
himmel [himmel]
glück [glück]
abend [abend]
fiel [fiel]
bringen [bringen]
geld [geld]
kamen [kamen]
denken [denken]
allem [allem]
gibt [gibt]
solchen [solchen]
gewiß [gewiß]
saß [saß]
arme [arme]
freude [freude]
land [land]
könne [könne]
welches [welches]
fühlte [fühlte]
herzen [herzen]
glauben [glauben]
