
# Auto-generated from Multilingual LibriSpeech (french)
de [de]
la [la]
et [et]
le [le]
les [les]
que [que]
un [un]
il [il]
en [en]
qui [qui]
des [des]
ne [ne]
dans [dans]
je [je]
une [une]
pas [pas]
du [du]
vous [vous]
se [se]
pour [pour]
ce [ce]
son [son]
plus [plus]
lui [lui]
au [au]
par [par]
sur [sur]
sa [sa]
elle [elle]
avec [avec]
comme [comme]
mais [mais]
est [est]
ses [ses]
nous [nous]
si [si]
avait [avait]
cette [cette]
tout [tout]
me [me]
était [était]
qu'il [qu'il]
dit [dit]
bien [bien]
mon [mon]
sans [sans]
ces [ces]
on [on]
d'un [d'un]
deux [deux]
où [où]
c'est [c'est]
leur [leur]
aux [aux]
ou [ou]
d'une [d'une]
fait [fait]
faire [faire]
même [même]
ma [ma]
ils [ils]
moi [moi]
encore [encore]
tous [tous]
dont [dont]
tu [tu]
homme [homme]
fut [fut]
quand [quand]
sont [sont]
monsieur [monsieur]
votre [votre]
donc [donc]
femme [femme]
qu'elle [qu'elle]
rien [rien]
peu [peu]
été [été]
leurs [leurs]
être [être]
aussi [aussi]
point [point]
sous [sous]
temps [temps]
après [après]
cela [cela]
quelque [quelque]
j'ai [j'ai]
là [là]
jeune [jeune]
toujours [toujours]
yeux [yeux]
qu'on [qu'on]
jamais [jamais]
toutes [toutes]
toute [toute]
vie [vie]
car [car]
suis [suis]
fois [fois]
jour [jour]
ni [ni]
dire [dire]
chez [chez]
fit [fit]
mes [mes]
grand [grand]
voir [voir]
avoir [avoir]
quelques [quelques]
non [non]
cet [cet]
père [père]
puis [puis]
moment [moment]
alors [alors]
n'est [n'est]
moins [moins]
trois [trois]
madame [madame]
vers [vers]
étaient [étaient]
ainsi [ainsi]
monde [monde]
répondit [répondit]
porte [porte]
fille [fille]
tête [tête]
main [main]
entre [entre]
dieu [dieu]
notre [notre]
chose [chose]
devant [devant]
pendant [pendant]
n'y [n'y]
c'était [c'était]
maison [maison]
mère [mère]
trop [trop]
te [te]
ont [ont]
voix [voix]
faut [faut]
jours [jours]
depuis [depuis]
mille [mille]
bon [bon]
hommes [hommes]
très [très]
petit [petit]
peut [peut]
heures [heures]
nuit [nuit]
tant [tant]
assez [assez]
mort [mort]
contre [contre]
coup [coup]
terre [terre]
avaient [avaient]
autres [autres]
autre [autre]
qu'ils [qu'ils]
l'on [l'on]
l'autre [l'autre]
ton [ton]
oui [oui]
grande [grande]
ans [ans]
fils [fils]
peut-être [peut-être]
déjà [déjà]
pouvait [pouvait]
fort [fort]
gens [gens]
enfin [enfin]
personne [personne]
seul [seul]
petite [petite]
nos [nos]
roi [roi]
près [près]
paris [paris]
n'avait [n'avait]
eût [eût]
chambre [chambre]
dit-il [dit-il]
s'il [s'il]
nom [nom]
avant [avant]
soit [soit]
qu'un [qu'un]
pauvre [pauvre]
elles [elles]
femmes [femmes]
vos [vos]
bras [bras]
faisait [faisait]
n'était [n'était]
s'était [s'était]
avez [avez]
celui [celui]
mieux [mieux]
maître [maître]
eu [eu]
ceux [ceux]
doute [doute]
soir [soir]
voilà [voilà]
reprit [reprit]
ici [ici]
s'en [s'en]
peine [peine]
sera [sera]
jusqu'à [jusqu'à]
eut [eut]
serait [serait]
