
# Auto-generated from Multilingual LibriSpeech (polish)
się [się]
nie [nie]
na [na]
do [do]
że [że]
to [to]
ale [ale]
jak [jak]
mnie [mnie]
za [za]
mi [mi]
co [co]
tak [tak]
jest [jest]
po [po]
go [go]
od [od]
już [już]
pan [pan]
mu [mu]
jego [jego]
tylko [tylko]
jej [jej]
ja [ja]
był [był]
dla [dla]
nawet [nawet]
który [który]
ze [ze]
czy [czy]
przez [przez]
ten [ten]
jeszcze [jeszcze]
gdy [gdy]
tego [tego]
więc [więc]
było [było]
sobie [sobie]
może [może]
wokulski [wokulski]
pani [pani]
ich [ich]
przed [przed]
tej [tej]
rzekł [rzekł]
on [on]
nas [nas]
bo [bo]
tu [tu]
nim [nim]
pod [pod]
nad [nad]
ci [ci]
zaś [zaś]
tem [tem]
aby [aby]
które [które]
ją [ją]
jednak [jednak]
tym [tym]
mój [mój]
tam [tam]
te [te]
ma [ma]
przy [przy]
bardzo [bardzo]
panie [panie]
są [są]
wszystko [wszystko]
chwili [chwili]
sam [sam]
znowu [znowu]
być [być]
gdzie [gdzie]
ani [ani]
tych [tych]
kiedy [kiedy]
jeżeli [jeżeli]
nic [nic]
była [była]
bez [bez]
odparł [odparł]
miał [miał]
albo [albo]
ażeby [ażeby]
teraz [teraz]
będzie [będzie]
siebie [siebie]
nam [nam]
mówił [mówił]
niego [niego]
raz [raz]
która [która]
których [których]
człowiek [człowiek]
lecz [lecz]
niej [niej]
dziś [dziś]
ta [ta]
cię [cię]
nich [nich]
jestem [jestem]
gdyby [gdyby]
pana [pana]
oczy [oczy]
ty [ty]
domu [domu]
książę [książę]
kto [kto]
też [też]
nigdy [nigdy]
potem [potem]
je [je]
między [między]
moje [moje]
panna [panna]
mego [mego]
mam [mam]
ziemi [ziemi]
im [im]
kilka [kilka]
jakby [jakby]
ku [ku]
ludzi [ludzi]
lub [lub]
coś [coś]
której [której]
więcej [więcej]
którego [którego]
wiem [wiem]
jeden [jeden]
ona [ona]
we [we]
mógł [mógł]
nią [nią]
można [można]
zawsze [zawsze]
wszystkie [wszystkie]
ojciec [ojciec]
nagle [nagle]
niech [niech]
dobrze [dobrze]
ręce [ręce]
lat [lat]
dwa [dwa]
którzy [którzy]
choć [choć]
dalej [dalej]
cóż [cóż]
swego [swego]
którym [którym]
tysięcy [tysięcy]
zawołał [zawołał]
były [były]
cały [cały]
jakie [jakie]
tę [tę]
dopiero [dopiero]
izabela [izabela]
wtedy [wtedy]
dni [dni]
dzień [dzień]
sobą [sobą]
wszyscy [wszyscy]
czas [czas]
aż [aż]
dnia [dnia]
prawie [prawie]
wszystkich [wszystkich]
rękę [rękę]
zaczął [zaczął]
którą [którą]
ludzie [ludzie]
drzwi [drzwi]
no [no]
czasu [czasu]
sposób [sposób]
wokulskiego [wokulskiego]
jakiś [jakiś]
bowiem [bowiem]
wreszcie [wreszcie]
gdyż [gdyż]
głowę [głowę]
życia [życia]
rzeczy [rzeczy]
pokoju [pokoju]
moich [moich]
ramzes [ramzes]
mojej [mojej]
człowieka [człowieka]
także [także]
coraz [coraz]
chwilę [chwilę]
razem [razem]
parę [parę]
spytał [spytał]
moja [moja]
właśnie [właśnie]
razy [razy]
chciał [chciał]
mną [mną]
taki [taki]
ile [ile]
oni [oni]
mogę [mogę]
panu [panu]
słowa [słowa]
rubli [rubli]
życie [życie]
jesteś [jesteś]
myśli [myśli]
trzeba [trzeba]
nocy [nocy]
niż [niż]
my [my]
myśl [myśl]
zupełnie [zupełnie]
każdy [każdy]
drugi [drugi]
wie [wie]
przecież [przecież]
ciebie [ciebie]
jako [jako]
faraon [faraon]
rzekła [rzekła]
trzy [trzy]
głos [głos]
będę [będę]
sie [sie]
kilku [kilku]
ojca [ojca]
całą [całą]
chce [chce]
moją [moją]
odpowiedział [odpowiedział]
tyle [tyle]
oto [oto]
myślał [myślał]
swoich [swoich]
jaki [jaki]
mówi [mówi]
nami [nami]
swoje [swoje]
tymczasem [tymczasem]
czego [czego]
twarz [twarz]
nareszcie [nareszcie]
wśród [wśród]
musi [musi]
kobiety [kobiety]
byłem [byłem]
księcia [księcia]
razie [razie]
wcale [wcale]
nikt [nikt]
moim [moim]
zdaje [zdaje]
wam [wam]
zresztą [zresztą]
miała [miała]
zaraz [zaraz]
zapytał [zapytał]
zapewne [zapewne]
nasz [nasz]
nasze [nasze]
natychmiast [natychmiast]
dodał [dodał]
aniżeli [aniżeli]
wielki [wielki]
masz [masz]
długo [długo]
drogę [drogę]
serce [serce]
strony [strony]
dwie [dwie]
takie [takie]
świat [świat]
dość [dość]
kazał [kazał]
zdawało [zdawało]
ach [ach]
chyba [chyba]
miałem [miałem]
dlaczego [dlaczego]
głową [głową]
czem [czem]
niema [niema]
dzieci [dzieci]
stary [stary]
ciągle [ciągle]
pierwszy [pierwszy]
faraona [faraona]
dom [dom]
rzecki [rzecki]
trochę [trochę]
śmierci [śmierci]
głosem [głosem]
świecie [świecie]
naszych [naszych]
baron [baron]
całe [całe]
odezwał [odezwał]
kapłani [kapłani]
mię [mię]
świątyni [świątyni]
was [was]
list [list]
mogłem [mogłem]
ziemię [ziemię]
zamiast [zamiast]
przecie [przecie]
samo [samo]
roku [roku]
naszego [naszego]
szepnął [szepnął]
wiesz [wiesz]
rzecz [rzecz]
mówiąc [mówiąc]
sir [sir]
miejscu [miejscu]
wkrótce [wkrótce]
powiedzieć [powiedzieć]
byli [byli]
sto [sto]
słońce [słońce]
wasza [wasza]
jednego [jednego]
podczas [podczas]
panny [panny]
wiele [wiele]
mieć [mieć]
widzę [widzę]
takim [takim]
jednej [jednej]
stał [stał]
stało [stało]
mówić [mówić]
kapłanów [kapłanów]
swoją [swoją]
ignacy [ignacy]
wody [wody]
ponieważ [ponieważ]
sposobem [sposobem]
mówiła [mówiła]
świata [świata]
stronę [stronę]
nietylko [nietylko]
sama [sama]
następnie [następnie]
kobieta [kobieta]
lepiej [lepiej]
jedno [jedno]
każdym [każdym]
temu [temu]
mają [mają]
drogi [drogi]
nieco [nieco]
słońca [słońca]
inne [inne]
naprzód [naprzód]
głowy [głowy]
jakieś [jakieś]
obok [obok]
później [później]
prawda [prawda]
widział [widział]
widać [widać]
około [około]
widok [widok]
proszę [proszę]
tutmozis [tutmozis]
wszedł [wszedł]
swoim [swoim]
bardziej [bardziej]
widziałem [widziałem]
przerwał [przerwał]
mówię [mówię]
kapłan [kapłan]
noc [noc]
wciąż [wciąż]
wówczas [wówczas]
don [don]
chociaż [chociaż]
jaką [jaką]
oczach [oczach]
twarzy [twarzy]
miejsce [miejsce]
innych [innych]
godzin [godzin]
oczyma [oczyma]
następca [następca]
wtrącił [wtrącił]
książe [książe]
musiał [musiał]
tutaj [tutaj]
będą [będą]
dlatego [dlatego]
chcę [chcę]
muszę [muszę]
twoje [twoje]
choćby [choćby]
śmierć [śmierć]
mniej [mniej]
swej [swej]
zbyt [zbyt]
ak [ak]
